Predictor,b,Seed,Dataset,Result
REC,6,6323675,dracula,11710.069205209662
HLL,7,6323675,dracula,8899.140452195263
REC,7,6323675,dracula,11146.592983441316
HLL,8,6323675,dracula,9079.859863947115
REC,8,6323675,dracula,10637.956468828921
HLL,9,6323675,dracula,9334.648879276461
REC,9,6323675,dracula,10252.749747148631
HLL,10,6323675,dracula,9491.69290732241
REC,10,6323675,dracula,9741.745457571784
HLL,11,6323675,dracula,9226.88727765036
REC,11,6323675,dracula,9576.876219335947
HLL,12,6323675,dracula,9309.228452590927
REC,12,6323675,dracula,9498.28753422255
HLL,13,6323675,dracula,9338.746884293809
REC,13,6323675,dracula,9424.401174285618
HLL,14,6323675,dracula,9458.79744084976
REC,14,6323675,dracula,10713.903163643017
HLL,15,6323675,dracula,9428.09951056076
REC,15,6323675,dracula,16071.696938099067
HLL,16,6323675,dracula,9431.20134607483
REC,16,6323675,dracula,27837.932418028387
HLL,2,1163603,dracula,12409.560097131982
REC,2,1163603,dracula,12324.95164407831
HLL,3,1163603,dracula,7244.025810159134
REC,3,1163603,dracula,27076.841131544865
HLL,4,1163603,dracula,8932.805670886077
REC,4,1163603,dracula,10502.074014644822
HLL,5,1163603,dracula,8235.013769014084
REC,5,1163603,dracula,7653.82269227467
HLL,6,1163603,dracula,9066.346146341462
REC,6,1163603,dracula,7704.400479467646
HLL,7,1163603,dracula,9836.268495011125
REC,7,1163603,dracula,10392.538704895647
HLL,8,1163603,dracula,9350.622264851812
REC,8,1163603,dracula,9500.615443284853
HLL,9,1163603,dracula,9997.170189145669
REC,9,1163603,dracula,8839.564549707937
HLL,10,1163603,dracula,9491.427724498571
REC,10,1163603,dracula,9789.410461718177
HLL,11,1163603,dracula,9365.38861921321
REC,11,1163603,dracula,9548.863927143917
HLL,12,1163603,dracula,9309.228452590927
REC,12,1163603,dracula,9509.889007599939
HLL,13,1163603,dracula,9338.746884293809
REC,13,1163603,dracula,9423.250753051116
HLL,14,1163603,dracula,9458.79744084976
REC,14,1163603,dracula,10713.903163643017
HLL,15,1163603,dracula,9428.09951056076
REC,15,1163603,dracula,16071.696938099067
HLL,16,1163603,dracula,9431.20134607483
REC,16,1163603,dracula,27837.932418028387
HLL,2,3220161,dracula,25898.21237662327
REC,2,3220161,dracula,2583.9394142282113
HLL,3,3220161,dracula,12399.076735528193
REC,3,3220161,dracula,10552.435405163906
HLL,4,3220161,dracula,8996.86563187251
REC,4,3220161,dracula,6465.732793091528
HLL,5,3220161,dracula,7192.815347993233
REC,5,3220161,dracula,9790.445887023538
HLL,6,3220161,dracula,7138.009162659865
REC,6,3220161,dracula,11893.054661541064
HLL,7,3220161,dracula,9093.787746024138
REC,7,3220161,dracula,12048.763137416914
HLL,8,3220161,dracula,9790.065397970588
REC,8,3220161,dracula,9916.956235107085
HLL,9,3220161,dracula,9720.248778438345
REC,9,3220161,dracula,9764.57029328941
HLL,10,3220161,dracula,9224.293003153616
REC,10,3220161,dracula,9151.741484040846
HLL,11,3220161,dracula,9295.280281234362
REC,11,3220161,dracula,9350.492315548747
HLL,12,3220161,dracula,9309.228452590927
REC,12,3220161,dracula,9470.501703733325
HLL,13,3220161,dracula,9338.746884293809
REC,13,3220161,dracula,9419.800331769888
HLL,14,3220161,dracula,9458.79744084976
REC,14,3220161,dracula,10713.903163643017
HLL,15,3220161,dracula,9428.09951056076
REC,15,3220161,dracula,16071.696938099067
HLL,16,3220161,dracula,9431.20134607483
REC,16,3220161,dracula,27837.932418028387
HLL,2,5745376,dracula,7422.540618845298
REC,2,5745376,dracula,2583.9394142282113
HLL,3,5745376,dracula,13866.327688627107
REC,3,5745376,dracula,13355.691684660569
HLL,4,5745376,dracula,11379.25559889141
REC,4,5745376,dracula,9884.246131430422
HLL,5,5745376,dracula,7573.345996033191
REC,5,5745376,dracula,12523.445883673521
HLL,6,5745376,dracula,8248.902395908504
REC,6,5745376,dracula,9137.237159264338
HLL,7,5745376,dracula,10243.455015294425
REC,7,5745376,dracula,8292.750354811213
HLL,8,5745376,dracula,9955.06379354464
REC,8,5745376,dracula,9353.591283581522
HLL,9,5745376,dracula,9061.779985369116
REC,9,5745376,dracula,9390.814967052485
HLL,10,5745376,dracula,8839.572158236293
REC,10,5745376,dracula,9098.294966525991
HLL,11,5745376,dracula,9089.631866247993
REC,11,5745376,dracula,9205.54597403184
HLL,12,5745376,dracula,9309.228452590927
REC,12,5745376,dracula,9445.102762548657
HLL,13,5745376,dracula,9338.746884293809
REC,13,5745376,dracula,9433.609601163953
HLL,14,5745376,dracula,9458.79744084976
REC,14,5745376,dracula,10713.903163643017
HLL,15,5745376,dracula,9428.09951056076
REC,15,5745376,dracula,16071.696938099067
HLL,16,5745376,dracula,9431.20134607483
REC,16,5745376,dracula,27837.932418028387
HLL,2,7787213,dracula,4653.585036424493
REC,2,7787213,dracula,47018.7740328915
HLL,3,7787213,dracula,5950.449772630717
REC,3,7787213,dracula,13355.691684660569
HLL,4,7787213,dracula,6785.496615384616
REC,4,7787213,dracula,5727.316937825021
HLL,5,7787213,dracula,8598.323199999999
REC,5,7787213,dracula,8139.7245233272615
